,Component_1 (250.269%),Component_2 (208.909%),Component_3 (150.057%),Component_4 (154.614%),Component_5 (61.845%),Component_6 (45.814%),Component_7 (55.470%),Component_8 (67.492%),Component_9 (24.942%),Component_10 (47.762%)
A_index,0.001,-0.101,0.088,-0.078,-0.02,0.035,0.151,-0.103,-0.09,0.122
B_index,0.092,-0.015,0.142,-0.133,0.138,-0.085,-0.149,0.011,0.02,-0.039
A_Atomicweight,0.002,-0.099,0.089,-0.078,-0.023,0.03,0.157,-0.098,-0.095,0.117
B_Atomicweight,0.09,-0.013,0.145,-0.137,0.134,-0.081,-0.149,0.007,0.027,-0.046
molar_mass,0.065,-0.081,0.167,-0.153,0.077,-0.035,0.01,-0.067,-0.051,0.053
A/B_AtomicWeight,-0.074,-0.052,-0.03,0.026,-0.12,0.107,0.166,-0.152,0.057,0.023
A_PeriodNumber,-0.03,-0.118,0.106,-0.059,-0.019,0.06,0.098,-0.092,-0.081,0.147
B_PeriodNumber,0.11,-0.023,0.085,-0.122,0.158,-0.097,-0.129,0.064,-0.008,0.035
A_Mendeleevnumber,0.098,0.152,-0.062,-0.051,0.005,-0.038,0.048,-0.027,0.04,-0.08
B_Mendeleevnumber,-0.029,-0.028,0.143,0.057,-0.111,0.113,-0.025,-0.072,-0.027,-0.174
A-B_Mendeleevnumber,0.077,0.112,-0.108,-0.06,0.056,-0.078,0.043,0.016,0.039,0.03
A_Zeff,0.006,-0.101,0.058,-0.089,0.044,0.1,0.168,-0.117,-0.083,0.112
B_Zeff,0.083,0.022,0.114,-0.096,0.192,-0.066,-0.191,-0.041,-0.039,-0.066
A-B_Zeff,-0.052,-0.088,-0.035,-0.0,-0.098,0.117,0.25,-0.057,-0.034,0.126
A+B_Zeff,0.061,-0.059,0.122,-0.132,0.165,0.029,-0.007,-0.114,-0.088,0.037
Largest_Zeff,0.049,-0.045,0.115,-0.138,0.115,0.032,0.034,-0.223,0.023,0.011
Lowest_Zeff,0.057,-0.058,0.094,-0.087,0.174,0.017,-0.051,0.04,-0.186,0.056
Avg_Zeff,0.061,-0.059,0.122,-0.132,0.165,0.029,-0.007,-0.114,-0.088,0.037
"A_Pauling,R(CN12)",-0.052,-0.074,0.131,0.031,-0.112,0.008,-0.11,-0.073,-0.017,0.124
"B_Pauling,R(CN12)",0.076,-0.068,0.005,-0.119,0.104,0.096,-0.044,0.247,0.08,0.046
"A/BPauling,R(CN12)",-0.102,-0.009,0.075,0.088,-0.13,-0.08,-0.048,-0.202,-0.054,0.073
"A-BPauling,R(CN12)",-0.081,-0.009,0.086,0.093,-0.138,-0.052,-0.048,-0.198,-0.059,0.056
"Avg_Pauling,R(CN12)",0.013,-0.115,0.115,-0.064,-0.017,0.079,-0.126,0.124,0.046,0.14
A_MartynovBatsanovEN,0.041,0.173,-0.023,-0.078,0.048,0.075,0.04,-0.036,0.06,-0.097
B_MartynovBatsanovEN,0.103,-0.019,-0.008,0.1,-0.092,0.027,-0.011,-0.041,-0.238,-0.011
A-B_MartynovBatsanovEN,-0.034,0.139,-0.012,-0.12,0.093,0.038,0.037,-0.001,0.193,-0.065
A/B_MartynovBatsanovEN,-0.022,0.113,-0.02,-0.132,0.096,0.008,0.033,-0.009,0.216,-0.009
Largest_MartynovBatsanovEN,0.115,0.041,0.001,-0.053,-0.098,-0.072,0.077,0.016,-0.17,0.012
Lowest_MartynovBatsanovEN,0.075,0.152,-0.034,0.039,0.024,0.152,-0.012,-0.089,-0.058,-0.127
Avg_MartynovBatsanovEN,0.101,0.124,-0.024,0.005,-0.024,0.077,0.024,-0.056,-0.113,-0.084
A_Density,0.041,-0.062,-0.023,-0.103,0.115,0.068,0.254,-0.062,-0.065,0.052
B_Density,0.045,0.05,0.173,-0.068,0.048,-0.22,-0.109,-0.194,-0.048,-0.107
A-B_Density,-0.001,-0.077,-0.13,-0.03,0.051,0.193,0.254,0.083,-0.015,0.107
A/B_Density,-0.008,-0.05,-0.051,-0.089,-0.053,0.12,0.278,-0.018,0.049,-0.003
Largest_Density,0.072,-0.001,0.1,-0.126,0.084,-0.1,0.129,-0.22,-0.023,-0.064
Lowest_Density,0.011,-0.031,0.062,-0.065,0.149,-0.057,0.033,-0.007,-0.182,0.047
Avg_Density,0.062,-0.012,0.103,-0.125,0.121,-0.102,0.117,-0.181,-0.083,-0.035
A_Cohesiveenergy,-0.039,0.026,0.025,-0.104,0.097,0.101,0.202,0.049,-0.043,0.046
B_Cohesiveenergy,0.087,0.045,-0.065,0.004,0.004,-0.056,-0.076,-0.106,-0.212,-0.062
A-B_Cohesiveenergy,-0.088,-0.013,0.063,-0.076,0.066,0.111,0.196,0.109,0.118,0.076
A/B_Cohesiveenergy,-0.056,-0.011,0.058,-0.071,0.114,0.24,0.063,0.038,0.136,0.002
Largest_Cohesiveenergy,0.05,0.073,0.01,-0.117,0.038,0.098,0.013,-0.084,-0.148,-0.113
Lowest_Cohesiveenergy,-0.002,-0.001,-0.072,0.017,0.096,-0.071,0.168,0.037,-0.161,0.137
Avg_Cohesiveenergy,0.034,0.05,-0.028,-0.072,0.072,0.033,0.091,-0.04,-0.18,-0.011
A_shortest_dist_count,0.053,-0.025,0.096,0.213,0.133,-0.078,0.094,-0.014,0.119,0.026
B_shortest_dist_count,0.19,0.002,0.062,0.107,-0.085,-0.083,0.115,0.227,-0.249,-0.12
A_avg_shortest_dist_count,0.047,-0.001,0.144,0.154,0.041,-0.165,0.145,0.087,0.041,-0.025
B_avg_shortest_dist_count,0.221,-0.027,0.016,0.16,0.017,0.012,0.083,0.131,-0.132,-0.093
A_shortest_tol_dist_count,-0.046,0.09,0.124,0.218,0.193,-0.002,0.048,-0.035,0.11,0.115
B_shortest_tol_dist_count,-0.09,0.143,0.08,0.124,0.061,-0.006,-0.053,0.059,-0.188,0.211
A_avg_shortest_dist_within_tol_count,-0.037,0.13,0.199,0.131,0.069,-0.085,0.09,0.043,0.084,0.098
B_avg_shortest_dist_within_tol_count,0.118,0.119,0.069,0.147,0.12,0.106,0.013,0.064,-0.013,0.13
A_second_by_first_shortest_dist,0.185,-0.155,0.011,0.157,0.076,-0.083,0.035,-0.11,0.208,0.086
B_second_by_first_shortest_dist,0.253,-0.173,-0.109,0.122,-0.021,0.064,-0.091,-0.101,-0.032,0.07
A_avg_second_by_first_shortest_dist,0.175,-0.147,0.035,0.129,0.027,-0.134,0.052,-0.07,0.167,0.076
B_avg_second_by_first_shortest_dist,0.278,-0.177,-0.118,0.138,0.022,0.102,-0.083,-0.118,0.024,0.059
A_second_shortest_dist_count,-0.015,0.144,0.154,0.125,0.045,0.124,0.055,-0.06,0.107,-0.002
B_second_shortest_dist_count,0.004,0.206,0.132,0.069,-0.072,0.194,-0.026,-0.008,-0.106,0.061
A_avg_second_shortest_dist_count,-0.132,0.19,0.195,0.111,-0.015,0.044,0.049,-0.023,-0.021,0.02
B_avg_second_shortest_dist_count,0.071,0.165,0.096,0.094,-0.01,0.233,-0.009,-0.026,-0.029,0.024
A_homoatomic_dist_by_shortest_dist,-0.018,-0.139,0.103,-0.061,-0.066,0.013,0.048,0.069,0.087,-0.127
B_homoatomic_dist_by_shortest_dist,0.118,0.041,-0.161,-0.067,0.051,0.022,-0.018,-0.002,0.034,0.045
A_avg_homoatomic_dist_by_shortest_dist,-0.032,-0.135,0.114,-0.056,-0.077,0.011,0.042,0.061,0.074,-0.12
B_avg_homoatomic_dist_by_shortest_dist,0.115,0.048,-0.154,-0.075,0.039,0.01,-0.004,0.021,0.014,0.025
A_count_at_A_shortest_dist,0.058,0.177,0.001,0.12,0.123,-0.11,0.111,-0.067,0.143,0.118
A_count_at_B_shortest_dist,0.193,0.103,-0.028,0.028,-0.052,-0.055,0.067,0.073,-0.078,0.019
A_avg_count_at_A_shortest_dist,0.051,0.226,0.058,0.036,0.001,-0.219,0.166,0.03,0.071,0.075
A_avg_count_at_B_shortest_dist,0.188,0.117,-0.022,0.027,-0.053,-0.044,0.075,0.055,-0.062,0.007
B_count_at_A_shortest_dist,0.018,-0.154,0.074,0.171,0.101,0.008,0.038,0.054,-0.003,-0.091
B_count_at_B_shortest_dist,-0.104,-0.132,0.02,0.183,0.127,0.049,-0.026,0.045,-0.157,-0.08
B_avg_count_at_A_shortest_dist,0.013,-0.143,0.103,0.126,0.039,-0.022,0.036,0.065,-0.005,-0.072
B_avg_count_at_B_shortest_dist,0.023,-0.188,0.05,0.161,0.092,0.072,0.003,0.089,-0.081,-0.123
A_lowest_wyckoff_label,0.031,0.113,-0.135,-0.034,0.033,0.161,-0.109,-0.055,-0.064,0.08
B_lowest_wyckoff_label,-0.079,-0.189,-0.085,0.061,0.201,0.293,-0.156,-0.056,0.074,-0.074
identical_lowest_wyckoff_count,-0.233,0.047,-0.015,-0.107,-0.003,-0.159,0.111,0.16,-0.18,-0.163
A_sites_total,-0.172,-0.073,-0.152,0.051,0.223,-0.037,-0.034,0.041,-0.106,-0.012
B_sites_total,-0.238,0.072,0.03,0.004,-0.027,-0.049,-0.054,-0.09,-0.099,0.073
A_multiplicity_total,-0.108,-0.017,-0.205,0.011,0.213,0.076,-0.103,-0.032,-0.051,0.072
B_multiplicity_total,-0.222,0.007,-0.021,0.052,0.053,0.025,-0.139,-0.158,-0.044,0.145
distAA,-0.014,-0.107,0.172,-0.063,-0.069,0.011,0.014,0.166,0.054,-0.021
distBB,0.158,0.043,-0.073,-0.11,0.007,0.022,-0.018,0.13,0.013,0.084
distAB,0.035,-0.016,0.159,-0.074,-0.049,0.076,-0.127,0.199,-0.012,0.238
Asize,-0.061,-0.167,0.035,-0.064,-0.047,-0.123,-0.018,0.17,-0.04,0.134
Bsize,0.106,0.03,0.164,-0.042,-0.002,0.206,-0.075,0.074,0.023,-0.133
Asize_by_Bsize,-0.121,-0.151,-0.069,-0.03,-0.032,-0.222,0.02,0.09,-0.05,0.179
