Mapping,Accuracy
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 3, 'Fe3C': 4, 'Mg3Cd': 5, 'TiAl3': 6}",0.9598478444632291
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 3, 'Fe3C': 4, 'Mg3Cd': 6, 'TiAl3': 5}",0.9615384615384616
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 3, 'Fe3C': 5, 'Mg3Cd': 4, 'TiAl3': 6}",0.9708368554522401
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 3, 'Fe3C': 5, 'Mg3Cd': 6, 'TiAl3': 4}",0.9683009298393914
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 3, 'Fe3C': 6, 'Mg3Cd': 4, 'TiAl3': 5}",0.9809805579036348
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 3, 'Fe3C': 6, 'Mg3Cd': 5, 'TiAl3': 4}",0.9784446322907862
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 4, 'Fe3C': 3, 'Mg3Cd': 5, 'TiAl3': 6}",0.9568892645815723
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 4, 'Fe3C': 3, 'Mg3Cd': 6, 'TiAl3': 5}",0.9564666103127641
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 4, 'Fe3C': 5, 'Mg3Cd': 3, 'TiAl3': 6}",0.9767540152155537
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 4, 'Fe3C': 5, 'Mg3Cd': 6, 'TiAl3': 3}",0.9725274725274725
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 4, 'Fe3C': 6, 'Mg3Cd': 3, 'TiAl3': 5}",0.9847844463229078
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 4, 'Fe3C': 6, 'Mg3Cd': 5, 'TiAl3': 3}",0.9809805579036348
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 5, 'Fe3C': 3, 'Mg3Cd': 4, 'TiAl3': 6}",0.967032967032967
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 5, 'Fe3C': 3, 'Mg3Cd': 6, 'TiAl3': 4}",0.9615384615384616
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 5, 'Fe3C': 4, 'Mg3Cd': 3, 'TiAl3': 6}",0.978021978021978
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 5, 'Fe3C': 4, 'Mg3Cd': 6, 'TiAl3': 3}",0.9729501267962807
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 5, 'Fe3C': 6, 'Mg3Cd': 3, 'TiAl3': 4}",0.9915469146238377
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 5, 'Fe3C': 6, 'Mg3Cd': 4, 'TiAl3': 3}",0.9877430262045647
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 6, 'Fe3C': 3, 'Mg3Cd': 4, 'TiAl3': 5}",0.9754860524091293
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 6, 'Fe3C': 3, 'Mg3Cd': 5, 'TiAl3': 4}",0.9737954353338969
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 6, 'Fe3C': 4, 'Mg3Cd': 3, 'TiAl3': 5}",0.9805579036348268
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 6, 'Fe3C': 4, 'Mg3Cd': 5, 'TiAl3': 3}",0.9835164835164835
"{'Cu3Au': 1, 'Cr3Si': 2, 'PuNi3': 6, 'Fe3C': 5, 'Mg3Cd': 3, 'TiAl3': 4}",0.9911242603550295
